gene_name,1cell_A.x,1cell_B.x,2cell_A.x,2cell_B.x,1cell_A.y,1cell_B.y,2cell_B.y,2cell_A.y
R10D12.13,358,559,335,138,18,19,17,10
sao-1,603,1708,627,182,79,88,6,21
R10D12.8,110,276,91,31,11,12,2,3
cbp-1,764,2422,513,213,333,284,205,152
vha-2,2886,8955,2546,651,87,100,23,33
usp-46,1269,1432,906,242,113,72,95,99
sqv-3,874,720,494,315,32,42,2,1
R10E11.5,1,0,0,0,1,1,1,1
R10E11.6,232,343,118,32,12,7,23,13
vha-1,939,1206,917,282,39,50,1,7
alx-1,812,1578,812,262,139,110,108,93
R10E12.2,211,254,137,58,16,16,14,13
R10E4.1,484,504,442,128,28,28,33,29
R10E4.11,96,40,50,34,48,84,1,3
sup-26,137,391,112,45,40,45,3,10
R10E4.3,1,7,0,4,1,1,1,1
mcm-5,3255,11656,4301,1009,467,443,628,587
nth-1,621,874,402,198,22,20,6,7
R10E4.6,0,1,3,2,1,1,1,1
R10E4.7,15,32,17,4,3,3,1,1
R10E4.9,229,180,184,119,8,10,6,6
msi-1,43,80,35,12,21,13,1,2
R10E9.3,35,27,31,16,1,2,1,1
cdh-1,1,0,3,2,2,2,1,1
R10F2.6,19,69,20,10,4,1,3,2
spi-1,0,1,1,0,1,1,1,1
lpd-8,789,669,667,396,47,54,14,20
spe-26,0,0,2,0,1,1,1,1
R10H10.3,0,1,0,0,1,1,1,1
gpa-7,0,1,1,0,2,1,1,1
R10H10.6,129,132,93,41,6,6,3,7
R10H10.7,267,226,60,36,31,40,1,2
slc-25A21,235,292,149,69,20,15,4,6
R11.3,0,49,6,0,1,3,1,1
R11.4,8,10,23,8,4,1,1,3
R119.2,45,34,18,14,12,12,4,5
R119.3,294,237,192,94,19,13,1,5
pqn-59,10056,10019,6091,3359,798,985,47,147
R119.5,38,47,51,15,11,3,7,6
taf-4,517,656,298,127,41,45,43,37
rnp-8,1276,1768,941,352,92,82,4,21
apb-3,1737,3189,1274,523,164,117,96,79
nud-2,342,377,283,127,19,31,3,1
R11A5.3,34,34,7,8,1,1,1,2
pck-2,2920,7757,2954,726,143,190,235,178
suro-1,0,8,0,0,1,1,1,1
R11A8.1,318,295,158,64,23,21,1,3
gkow-1,1160,1818,1024,398,80,64,69,48
ugt-59,0,7,0,0,1,1,1,1
sir-2.1,1212,2741,1081,327,78,93,54,45
pges-2,1794,2557,954,354,49,64,20,24
iars-1,965,906,525,273,43,72,22,10
mask-1,1227,3216,1061,430,404,378,225,187
mpz-5,0,1,0,0,1,1,1,1
tbc-12,323,850,304,65,19,29,5,7
R11D1.10,214,174,139,95,18,15,17,12
R11D1.13,0,3,0,0,1,1,1,1
R11D1.1,632,1270,466,191,47,38,45,27
R11D1.2,0,1,0,0,1,1,1,1
rpl-28,1461,2142,1534,648,10,12,2,4
mrpl-49,199,114,128,74,14,10,3,1
set-15,194,340,179,38,18,14,11,5
nhr-104,20,15,15,10,1,2,1,1
eor-1,633,1204,391,155,46,66,18,14
dpf-7,426,1403,428,126,68,56,73,65
dpf-5,2201,4086,1409,607,123,205,14,40
R11F4.1,0,10,7,0,1,1,1,1
R11F4.2,0,0,0,2,1,1,1,1
R11G1.1,0,9,0,5,1,2,1,1
R11G1.2,3,13,2,5,1,2,1,1
gst-11,0,4,0,0,1,1,1,1
sax-1,295,338,191,73,29,39,5,1
R11G1.6,15,47,21,2,2,2,1,1
R11G1.7,28,48,29,31,1,4,2,1
avr-15,0,1,0,0,1,1,1,1
R11G10.3,0,0,4,0,1,1,1,1
nhr-132,12,1,0,0,1,2,1,1
nhr-58,0,0,3,0,1,1,1,1
pes-9,1361,3310,1504,397,82,76,91,98
R11H6.2,2540,2659,1686,735,83,76,3,5
glb-22,0,0,2,0,1,1,1,1
R11H6.4,20,16,3,0,1,2,1,1
R11H6.5,1490,1266,1173,387,57,54,70,46
snt-5,49,106,42,2,3,3,1,3
sma-4,43,110,30,17,3,3,5,6
R12B2.2,83,226,120,48,12,16,19,3
R12B2.3,0,2,0,1,1,1,1,1
him-10,880,1602,811,345,68,56,87,55
mdt-15,429,1103,276,117,75,79,7,12
R12C12.10,0,1,0,5,1,1,1,1
gldc-1,2,3,1,1,4,2,1,1
ran-5,977,2355,766,300,87,83,28,39
R12C12.5,1375,2936,1349,438,63,43,92,83
R12C12.6,926,970,757,369,51,62,1,1
R12C12.7,1070,899,720,452,40,26,7,3
kel-20,1468,1262,710,458,57,71,23,33
egg-5,626,713,341,233,24,25,1,7
R12E2.11,735,634,504,183,37,49,4,3
mrps-6,146,136,114,56,5,4,1,1
R12E2.13,897,934,568,257,24,35,10,7
suco-1,2529,3478,1414,554,213,279,7,21
rpn-8,3806,4637,2754,1169,179,154,52,44
inx-17,0,1,0,1,1,1,1,1
R12E2.8,33,48,25,23,1,1,4,2
asp-4,3,0,0,0,1,1,1,1
skr-19,1,2,0,0,1,2,1,1
skr-20,30,54,29,30,2,2,3,2
miz-1,313,1248,390,102,69,49,27,34
R13A1.10,5,4,6,3,2,1,1,1
